CT;Date;Time_of_Day;Site;forest_d;forest_g;forest_a;sec_veg;savanna;crops;pasture;d_river;d_streams;d_roads;d_crops;Datetime;Hour;HourRadians
CT26;2023-07-11;13:09:00;Puerto Gaitán;0;19.18836;0;0;81.478397;0;0;0;11.336178;1790.782707;1164.292164;2023-07-11 13:09:00;13.15;3.44266195
CT27;2023-07-11;20:53:00;Puerto Gaitán;0;17.605691;0;0;83.060489;0;0;0;34.897646;1212.748768;1592.399592;2023-07-11 20:53:00;20.88333333;5.467243882
CT28;2023-10-11;16:09:00;Puerto Gaitán;0;30.705576;0;0;69.964734;0;0;0;4.890116;767.303656;542.580598;2023-10-11 16:09:00;16.15;4.228060113
CT29;2023-09-10;20:03:00;Puerto Gaitán;0;14.401418;0;0;83.673536;2.59166;0;0;36.564731;540.468957;22.894634;2023-09-10 20:03:00;20.05;5.249077725
CT30;2023-12-11;5:39:00;Puerto Gaitán;0;19.114396;0;0;68.729372;12.823264;0;0;28.451584;1488.929183;41.677125;2023-12-11 05:39:00;5.65;1.479166541
CT31;2023-01-10;20:13:00;Puerto Gaitán;0;4.757327;0;0;44.16157;51.747126;0;0;37.453843;1455.142927;12.780985;2023-01-10 20:13:00;20.21666667;5.292710957
CT32;2023-02-10;19:22:00;Puerto Gaitán;0;13.267848;0;0;28.867036;57.968905;0;0;31.007781;1932.596071;0.333417;2023-02-10 19:22:00;19.36666667;5.070181477
CT33;2023-06-10;20:06:00;Puerto Gaitán;0;12.548529;0;0;28.974175;59.146309;0;0;19.227047;352.199491;0;2023-06-10 20:06:00;20.1;5.262167695
CT34;2023-07-10;17:24:00;Puerto Gaitán;0;19.961841;0;0;71.926446;8.779743;0;0;15.55946;851.769296;46.900658;2023-07-10 17:24:00;17.4;4.555309348
CT35;2023-11-10;13:01:00;Puerto Gaitán;0;14.762128;0;0;78.221234;7.687682;0;0;74.129713;343.864066;309.633254;2023-11-10 13:01:00;13.01666667;3.407755365
CT36;2023-11-10;22:49:00;Puerto Gaitán;0;22.949944;0;0;77.721674;0;0;0;25.895387;511.350539;1071.491099;2023-11-10 22:49:00;22.81666667;5.973389365
CT37;2023-11-10;23:38:00;Puerto Gaitán;0;28.184766;0;0;72.487426;0;0;0;16.004016;719.291608;1681.977626;2023-11-10 23:38:00;23.63333333;6.187192198
CT38;2023-12-10;17:23:00;Puerto Gaitán;0;25.360163;0;0;75.311579;0;0;0;10.113649;768.192768;1937.708465;2023-12-10 17:23:00;17.38333333;4.550946025
CT39;2023-13-10;6:53:00;Puerto Gaitán;0;22.064508;0;0;78.608373;0;0;0;29.896391;1735.102068;2627.214821;;;
CT40;2023-14-10;19:43:00;Puerto Gaitán;0;20.502306;0;0;80.171566;0;0;0;25.339692;1733.990678;3066.991844;;;
CT41;2023-15-10;16:47:00;Puerto Gaitán;29.489107;0;0;0;52.031931;19.155409;0;0;23.005773;509.01662;159.929021;;;
CT42;2023-15-10;17:13:00;Puerto Gaitán;43.47315;0;0;0;57.203675;0;0;0;1235.532263;83.131972;628.046489;;;
